"CATEGORIE","LIBELLE","MOT_DIRECTEUR","STATUT","COMMUNE","RIVOLI","TENANT","ABOUTISSANT","BI_MIN","BP_MIN","BI_MAX","BP_MAX"
"Lieu-dit","Les Faux","Faux","PUBLIQUE","LES-SORINIERES","B163","","","1","2","1","20"
"Voie","Voie Non Dénommée 0471766","Dénommée","PUBLIQUE","COUERON","","","","","","",""
"Voie","Voie Non Dénommée 0471791","Dénommée","PUBLIQUE","COUERON","","","","","","",""
"Voie","Voie Non Dénommée 0471810","Dénommée","PUBLIQUE","COUERON","","","","","","",""
"Voie","Voie Non Dénommée 0471818","Dénommée","PUBLIQUE","COUERON","","","","","","",""
"Rue","Rue du Général De Gaulle","Gaulle","PUBLIQUE","ST-SEBASTIEN","0540","","BASSE-GOULAINE Rue du Grignon","1","2","99","140"
"Rue","Rue de la Gendronnière","Gendronnière","PUBLIQUE","ST-SEBASTIEN","0530","ST-SEBASTIEN Rue Alexandre Fourny","ST-SEBASTIEN Rue de la Bouline","5","4","23","24"
"Boulevard","Boulevard de l'Europe","Europe","PUBLIQUE","ST-SEBASTIEN","0468","ST-SEBASTIEN Rue des Chardonnerets","","7","4","29","32"
"Place","Place de l'Eglise","Eglise","PUBLIQUE","ST-SEBASTIEN","0450","ST-SEBASTIEN Rue de Venise","ST-SEBASTIEN Rue Jean Baptiste Robert","1","","7",""
"Avenue","Avenue des Bambous","Bambous","PUBLIQUE","NANTES","0525","NANTES Impasse de la Quenouille","NANTES Avenue des Ajoncs","","16","","68"
"Impasse","Impasse des Hucasseries","Hucasseries","PRIVEE","REZE","1781","REZE Rue des Hucasseries","Impasse","1","2","9","10"
"Rue","Rue des Grands Courtils","Grands","PUBLIQUE","REZE","1632","REZE Boulevard Le Corbusier","","3","4","13","24"
"Impasse","Impasse du Chêne Creux","Chêne","PUBLIQUE","REZE","0810","REZE Rue Jean-Baptiste et Henri Tendron","Impasse","1","2","23","18"
"Impasse","Impasse Georges Sadoul","Sadoul","PRIVEE","REZE","1614","REZE Rue René Clair","Impasse","1","2","11","12"
"Rue","Rue des Sorbiers","Sorbiers","PUBLIQUE","REZE","3436","REZE Rue du Moulin Guibreteau","REZE Rue des Sorbiers","1","2","3","12"
"Rue","Rue des Symphorines","Symphorines","PRIVEE","REZE","3463","REZE Avenue des Cornouillers","","1","2","9","8"
"Allée","Allée de Provence","Provence","PUBLIQUE","REZE","3140","REZE Allée de Picardie","REZE Allée de Touraine","","","",""
"Allée","Allée du Béarn","Béarn","PUBLIQUE","REZE","0320","REZE Allée du Dauphiné","REZE Avenue de Saint-Nazaire","","2","","8"
"Rue","Rue des Bruyères","Bruyères","PUBLIQUE","REZE","0523","REZE Rue des Bruyères","","5","8","27","8"
"Rue","Rue des Champs Garnier","Champs","PUBLIQUE","REZE","0625","REZE Rue du Moulin à l'Huile","","3","2","21","22"
"Impasse","Impasse des Bernarderies","Bernarderies","PRIVEE","REZE","0362","REZE Impasse des Bernarderies","Impasse","1","","13",""
"Rue","Rue des Filets","Filets","PUBLIQUE","REZE","1321","REZE Rue de la Basse Ile","REZE Rue de la Basse Ile","1","8","7","12"
"Impasse","Impasse des Gilardes","Gilardes","PUBLIQUE","REZE","1618","REZE Rue Douaud","Impasse","1","2","5","4"
"Impasse","Impasse des Lauriers Verts","Lauriers","PUBLIQUE","REZE","2152","REZE Rue des Frères Brégeon","Impasse","1","2","23","4"
"Rue","Rue des Landes Belleville","Landes","PUBLIQUE","REZE","2140","REZE Rue du Chêne Creux","REZE Rue Jean-Baptiste et Henri Tendron","3","2","5","14"
"Impasse","Impasse François Blourde","Blourde","PRIVEE","REZE","1358","REZE Rue de la Basse Lande","Impasse","1","4","5","8"
"Allée","Allée de Praud","Praud","PUBLIQUE","REZE","3125","","","1","2","1","2"
"Rue","Rue des Saules","Saules","PUBLIQUE","REZE","3376","REZE Rue des Sorbiers","REZE Rue des Ormes","1","2","31","12"
"Rue","Rue de Koufra","Koufra","PUBLIQUE","NANTES","4720","NANTES Boulevard Jules Verne","NANTES Route de Saint Joseph","1","2","25","88"
"Rue","Rue Kruger","Kruger","PUBLIQUE","NANTES","4725","NANTES Rue Pierre Dupont","NANTES Rue Maurice Terrien","3","4","15","16"
"Rue","Rue de la Bourdonnais","Bourdonnais","PUBLIQUE","NANTES","4737","NANTES Rue Joseph Blanchart","NANTES Rue de la Bourdonnais","3","10","65","72"
"Rue","Rue de l'Aveneau","Aveneau","MIXTE","REZE","0225","REZE Rue de la Galarnière","REZE Avenue Lucie et Raymond Aubrac","3","4","9","16"
"Rue","Rue Léon Lecosse","Lecosse","PRIVEE","REZE","2220","REZE Rue des Chevaliers","REZE Quai de l'Echouage","1","10","1","16"
"Rue","Rue Bougeau","Bougeau","PUBLIQUE","REZE","0460","REZE Rue Maurice Lagathu","REZE Rue Mazureau","1","2","29","12"
"Rue","Rue Louis Morandeau","Morandeau","PUBLIQUE","REZE","2300","REZE Place Jean Baptiste Daviais","REZE Rue Maurice Monnier","3","2","3","20"
"Rue","Rue Lazare Hoche","Hoche","PUBLIQUE","REZE","2154","REZE Rue Jean Baptiste Kléber","REZE Rue Jean Baptiste Kléber","1","2","15","6"
"Rue","Rue de la Basse Ile","Basse","PUBLIQUE","REZE","0290","REZE Boulevard Victor Schoelcher","REZE Rue du Général Leclerc","71","80","125","124"
"Rue","Rue Louis De Broglie","Broglie","PUBLIQUE","REZE","2312","REZE Rue Nicolas Copernic","REZE Rue Nicolas Copernic","1","2","31","12"
"Avenue","Avenue des Troënes","Troënes","PRIVEE","REZE","3600","REZE Rue Jules Laisné","REZE Avenue des Lilas","1","2","9","10"
"Voie","Voie Non Dénommée 0471822","Dénommée","PUBLIQUE","COUERON","","","","","","",""
"Voie","Voie Non Dénommée 0471836","Dénommée","PUBLIQUE","COUERON","","","","","","",""
"Voie","Voie Non Dénommée 0471840","Dénommée","PUBLIQUE","COUERON","","","","","","",""
"Voie","Voie Non Dénommée 0471848","Dénommée","PUBLIQUE","COUERON","","","","","","",""
"Voie","Voie Non Dénommée 0471876","Dénommée","PRIVEE","COUERON","","","","","","",""
"Voie","Voie Non Dénommée 1431065","Dénommée","PUBLIQUE","REZE","","","","","","",""
"Voie","Voie Non Dénommée 0351807","Dénommée","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","","","","","","",""
"Voie","Voie Non Dénommée 0351822","Dénommée","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","","","","","","",""
"Voie","Voie Non Dénommée 0351827","Dénommée","PRIVEE","LA-CHAPELLE-SUR-ERDRE","","","","","","",""
"Voie","Voie Non Dénommée 1201741","Dénommée","PRIVEE","LE-PELLERIN","","","","","","",""
"Rue","Rue Lefévre-Utile","Lefévre-Utile","PUBLIQUE","NANTES","4866","NANTES Quai Ferdinand Favre","NANTES Avenue Carnot","1","2","9","4"
"Allée","Allée Hugo de Vries","Vries","PUBLIQUE","NANTES","4254","NANTES Rue Emile Gadeceau","NANTES Rue James Lloyd","","","",""
"Chemin","Chemin de la Guillemotière","Guillemotière","PUBLIQUE","ORVAULT","0821","SAUTRON Chemin des Landes","","3","2","5","8"
"Rue","Rue des Figuiers","Figuiers","PUBLIQUE","NANTES","3137","NANTES Rue du Brouillard","","1","2","3","4"
"Rue","Rue Henri Matisse","Matisse","PUBLIQUE","NANTES","4151","NANTES Boulevard Jean Ingres","NANTES Rue Honoré Daumier","1","8","7","8"
"Chemin","Chemin de la Briancelière","Briancelière","PUBLIQUE","ORVAULT","0381","ORVAULT VM 26","","1","2","11","2"
"Allée","Allée de Mercure","Mercure","PRIVEE","ORVAULT","1212","ORVAULT Rue d'Uranus","ORVAULT Rue de Vénus","","","",""
"Rue","Rue des Merisiers","Merisiers","PUBLIQUE","NANTES","5594","NANTES Rue de la Fontaine Caron","NANTES Rue des Mûriers Sauvages","1","2","1","10"
"Rue","Rue Antonio Vivaldi","Vivaldi","PRIVEE","ST-SEBASTIEN","0043","ST-SEBASTIEN Rue des Rogets","","1","2","15","24"
"Rue","Rue des Perce-Neige","Perce-Neige","PUBLIQUE","ST-SEBASTIEN","1031","ST-SEBASTIEN Rue des Jonquilles","ST-SEBASTIEN Avenue de la Tranquillité","1","2","19","18"
"Allée","Allée du Lézard","Lézard","PUBLIQUE","ST-SEBASTIEN","0744","ST-SEBASTIEN Place Cambronne","ST-SEBASTIEN Rue du Général Duez","9","","9",""
"Rue","Rue Saint Joseph","Saint","PUBLIQUE","ORVAULT","1663","","ORVAULT Rue de la Chapelle des Anges","9","","33",""
"Impasse","Impasse des Charmes","Charmes","PUBLIQUE","ORVAULT","0459","ORVAULT Allée de la Futaie","Impasse","3","2","3","4"
"Rue","Rue du Fiacre","Fiacre","PUBLIQUE","ORVAULT","0674","ORVAULT Rue de l'Omnibus","ORVAULT Rue de la Carriole","1","4","3","4"
"Place","Place René Goscinny","Goscinny","PUBLIQUE","ORVAULT","1991","ORVAULT Rue Hugo Pratt","ORVAULT Rue Louis Forton","1","","7",""
"Impasse","Impasse Julien Marchais","Marchais","PRIVEE","REZE","2069","REZE Rue Julien Marchais","Impasse","3","2","7","18"
"Allée","Allée de Touraine","Touraine","PUBLIQUE","REZE","3560","REZE Avenue de Bretagne","","11","2","11","8"
"Rue","Rue du Bois Marnier","Bois","MIXTE","REZE","0432","REZE Rue Clément Bachelier","","1","2","11","12"
"Rue","Rue du Château de Rezé","Château","PUBLIQUE","REZE","0750","REZE Rue Victor Fortun","REZE Rue Octave Rousseau","1","20","113","110"
"Rue","Rue du Danube","Danube","PUBLIQUE","REZE","1040","REZE Rue du Danube","REZE Rue Jean Fraix","5","","19",""
"Rue","Rue du Docteur Nogues","Nogues","PUBLIQUE","REZE","1080","","","1","2","15","18"
"Chemin","Chemin du Porteau","Porteau","MIXTE","LA-CHAPELLE-SUR-ERDRE","4323","LA-CHAPELLE-SUR-ERDRE Rue de Cotalard","","3","2","9","6"
"Rue","Rue du Clos de l'Aulnay","Clos","PRIVEE","LA-CHAPELLE-SUR-ERDRE","1870","LA-CHAPELLE-SUR-ERDRE Rue des Réfractair","","1","2","33","30"
"Rue","Rue Lanoue Bras de Fer","Lanoue","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","3980","LA-CHAPELLE-SUR-ERDRE Rue Charles De Gau","LA-CHAPELLE-SUR-ERDRE Rue du Cèdre","1","2","25","24"
"Rue","Rue Julien Poydras de la Lande","Poydras","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","3952","LA-CHAPELLE-SUR-ERDRE Rue Rogatien Leves","LA-CHAPELLE-SUR-ERDRE Rue Pierre Lucas","1","2","45","10"
"Rue","Rue du Maréchal Juin","Juin","PRIVEE","LA-CHAPELLE-SUR-ERDRE","4109","LA-CHAPELLE-SUR-ERDRE Rue Louis Maisonne","","1","2","39","12"
"Rue","Rue du Hameau","Hameau","PRIVEE","LA-CHAPELLE-SUR-ERDRE","3631","LA-CHAPELLE-SUR-ERDRE Rue des Besneries","","1","2","5","4"
"Rue","Rue du Domaine de la Jonelière","Domaine","PRIVEE","LA-CHAPELLE-SUR-ERDRE","2482","LA-CHAPELLE-SUR-ERDRE Route de la Joneli","","1","2","13","14"
"Impasse","Impasse de la Binetière","Binetière","PRIVEE","LA-CHAPELLE-SUR-ERDRE","0657","LA-CHAPELLE-SUR-ERDRE Rue du Cheval Bijo","Impasse","1","2","11","4"
"Chemin","Chemin de l'Aulnay","Aulnay","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","0075","LA-CHAPELLE-SUR-ERDRE Impasse François C","LA-CHAPELLE-SUR-ERDRE Rue des Réfractair","","","",""
"Rue","Rue du Maréchal Joffre","Joffre","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","4100","LA-CHAPELLE-SUR-ERDRE Rue Mal Leclerc de","LA-CHAPELLE-SUR-ERDRE Rue Lanoue Bras de","1","2","13","22"
"Chemin","Chemin du Courtil","Courtil","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","2295","LA-CHAPELLE-SUR-ERDRE Rue de la Haie","","1","2","5","6"
"Rue","Rue des Soupirs","Soupirs","PUBLIQUE","LES-SORINIERES","0380","LES-SORINIERES Rue de la Haute Lande","LES-SORINIERES Rue du Bocage","1","2","11","10"
"Rue","Rue des Mouettes","Mouettes","PUBLIQUE","LES-SORINIERES","0250","LES-SORINIERES Rue de la Corberie","","","2","","8"
"Rue","Rue des Maraîchers","Maraîchers","PUBLIQUE","LES-SORINIERES","0237","LES-SORINIERES Rue de Bellevue","","1","2","13","14"
"Rue","Rue des Courtils","Courtils","PUBLIQUE","LES-SORINIERES","0162","LES-SORINIERES Rue des Courtils","LES-SORINIERES Rue des Courtils","1","6","21","14"
"Rue","Rue des Glycines","Glycines","PRIVEE","LES-SORINIERES","0199","LES-SORINIERES Rue des Lauriers","","1","4","13","40"
"Rue","Rue des Hortensias","Hortensias","MIXTE","LES-SORINIERES","0222","","LES-SORINIERES Rue du Général De Gaulle","3","4","15","18"
"CR","CR 12","12","PUBLIQUE","LES-SORINIERES","0135","LES-SORINIERES Chemin de la Bauche Bline","LES-SORINIERES VC 11","","","",""
"Allée","Allée de la Coulée Verte","Coulée","PUBLIQUE","THOUARE-SUR-LOIRE","0700","THOUARE-SUR-LOIRE Rue des Vignes","","","","",""
"Avenue","Avenue du Vallon","Vallon","PUBLIQUE","THOUARE-SUR-LOIRE","0125","THOUARE-SUR-LOIRE Rue de Beaulieu","","1","2","15","12"
"Rue","Rue de Clermont","Clermont","PUBLIQUE","THOUARE-SUR-LOIRE","0605","THOUARE-SUR-LOIRE Rue de Chambord","THOUARE-SUR-LOIRE Chemin du Clairais","1","2","11","10"
"Rue","Rue Saturne","Saturne","PRIVEE","ORVAULT","1711","ORVAULT Avenue de la Voie Lactée","ORVAULT Avenue de la Voie Lactée","1","4","27","18"
"Rue","Rue du Savetier","Savetier","PUBLIQUE","ORVAULT","1704","ORVAULT Rue de la Chevalerie","ORVAULT Rue de la Chevalerie","1","","15",""
"Rue","Rue Saint Léger","Saint","PUBLIQUE","ORVAULT","1665","ORVAULT Rue Hubert De la Brosse","ORVAULT Rue de la Fabrique","3","6","3","12"
"Rue","Rue de Saint-Cloud","Saint-Cloud","PUBLIQUE","ORVAULT","1650","","ORVAULT Place Miramas","3","2","67","78"
"Rue","Rue de la Rotonde","Rotonde","PUBLIQUE","ORVAULT","1597","ORVAULT Rue du Tissandier","ORVAULT Allée des Bergères","1","2","35","22"
"Chemin","Chemin de la Retardière","Retardière","PUBLIQUE","ORVAULT","1569","ORVAULT Route de la Rousselière","ORVAULT Chemin du Plessis Buron","5","30","95","116"
"Rue","Rue du Lieutenant de Monti","Monti","PUBLIQUE","REZE","2270","REZE Place de la Renaissance","REZE Rue d'Ancenis","1","2","37","88"
"Place","Place du Pays de Retz","Pays","PUBLIQUE","REZE","2880","","","","","",""
"Allée","Allée d'Herbignac","Herbignac","PUBLIQUE","REZE","1760","","","","","",""
"Place","Place du Traité de Rome","Traité","PUBLIQUE","REZE","3565","","","","","",""
"Allée","Allée du Brivet","Brivet","PUBLIQUE","REZE","0500","","","","","",""
"Place","Place Levoyer","Levoyer","PUBLIQUE","REZE","2250","REZE Rue Rio","","1","2","13","12"
"Allée","Allée du Gavre","Gavre","PUBLIQUE","REZE","1500","","","","","",""
"Place","Place Major","Major","PUBLIQUE","REZE","2370","REZE Rue Félix","","5","4","5","6"
"Quai","Quai de l'Echouage","Echouage","PRIVEE","REZE","2208","","","","2","","2"
"Quai","Quai Surcouf","Surcouf","PRIVEE","REZE","3461","REZE Rue du Général Leclerc","REZE Quai Marcel Boissard","1","4","41","6"
"Résidence","Résidence du Parc","Parc","PRIVEE","REZE","A095","REZE Impasse de la Morinière","","1","2","11","12"
"Rue","Rue du Plessis","Plessis","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","4305","","","1","2","41","42"
"Rue","Rue Mendès France","Mendès","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","4194","LA-CHAPELLE-SUR-ERDRE Rue Martin Luther ","LA-CHAPELLE-SUR-ERDRE Route d'Orvault","3","2","53","74"
"Chemin","Chemin des Avettes","Avettes","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","0150","LA-CHAPELLE-SUR-ERDRE Rue de la Bauche","LA-CHAPELLE-SUR-ERDRE Chemin de la Fonta","1","2","1","8"
"Rue","Rue Jean V","Jean","PRIVEE","LA-CHAPELLE-SUR-ERDRE","3918","LA-CHAPELLE-SUR-ERDRE Rue du Bois Fleuri","LA-CHAPELLE-SUR-ERDRE Rue Anne de Bretag","1","2","19","14"
"Rue","Rue Pierre Landais","Landais","PRIVEE","LA-CHAPELLE-SUR-ERDRE","4426","LA-CHAPELLE-SUR-ERDRE Rue Anne de Bretag","","1","2","7","6"
"Chemin","Chemin des Orans","Orans","MIXTE","LA-CHAPELLE-SUR-ERDRE","4282","LA-CHAPELLE-SUR-ERDRE Chemin de la Fonta","LA-CHAPELLE-SUR-ERDRE Rue Anne de Bretag","1","4","3","10"
"Avenue","Avenue de la Morvandière","Morvandière","PRIVEE","THOUARE-SUR-LOIRE","0081","THOUARE-SUR-LOIRE Rue des Ecoles","THOUARE-SUR-LOIRE Rue de Mauves","1","2","17","12"
"Rue","Rue de la Halbarderie","Halbarderie","PRIVEE","THOUARE-SUR-LOIRE","0071","THOUARE-SUR-LOIRE Rue de Mauves","THOUARE-SUR-LOIRE Rue des Ecoles","1","2","9","10"
"Avenue","Avenue Berlioz","Berlioz","PRIVEE","THOUARE-SUR-LOIRE","0010","THOUARE-SUR-LOIRE Rue de la Bussonnière","","1","2","11","16"
"Avenue","Avenue des Martinières","Martinières","PRIVEE","THOUARE-SUR-LOIRE","0077","THOUARE-SUR-LOIRE Rue de Carquefou","THOUARE-SUR-LOIRE Avenue Berlioz","1","2","13","6"
"Avenue","Avenue du Grand Clos","Grand","PUBLIQUE","THOUARE-SUR-LOIRE","0057","THOUARE-SUR-LOIRE Rue de la Belle Etoile","","1","2","13","12"
"Impasse","Impasse des Bouvreuils","Bouvreuils","PRIVEE","THOUARE-SUR-LOIRE","0039","THOUARE-SUR-LOIRE Rue de Nantes","Impasse","1","2","1","2"
"Rue","Rue de la Pamprie","Pamprie","PUBLIQUE","THOUARE-SUR-LOIRE","0733","THOUARE-SUR-LOIRE Route de la Hillière","THOUARE-SUR-LOIRE Rue de la Robinière","1","6","11","6"
"Rue","Rue de Bellevue","Bellevue","PUBLIQUE","THOUARE-SUR-LOIRE","0009","THOUARE-SUR-LOIRE Rue de Mauves","THOUARE-SUR-LOIRE Route de Paris","1","4","89","84"
"Rue","Rue des Chalonges","Chalonges","PUBLIQUE","THOUARE-SUR-LOIRE","0040","THOUARE-SUR-LOIRE Rue de Mauves","THOUARE-SUR-LOIRE Rue de Bellevue","3","2","49","54"
"Route","Route du Chêne Vert","Chêne","PUBLIQUE","THOUARE-SUR-LOIRE","0088","THOUARE-SUR-LOIRE Rue des Buissons","THOUARE-SUR-LOIRE Route de Paris","1","2","35","32"
"Chemin","Chemin de la Grille","Grille","PUBLIQUE","THOUARE-SUR-LOIRE","0606","THOUARE-SUR-LOIRE Rue de la Saulzaie","THOUARE-SUR-LOIRE Rue du Port","","","",""
"Rue","Rue de la Herrière","Herrière","PUBLIQUE","THOUARE-SUR-LOIRE","0067","THOUARE-SUR-LOIRE Rue du Pré Poulain","THOUARE-SUR-LOIRE Rue du Coteau de la He","1","2","15","10"
"Chemin","Chemin de la Provotière","Provotière","MIXTE","ORVAULT","1535","ORVAULT Avenue Charles De Gaulle","","1","2","13","24"
"Avenue","Avenue de la Praudière","Praudière","PUBLIQUE","ORVAULT","1519","","ORVAULT Chemin des Noisetiers","1","4","73","74"
"Rue","Rue de Pollux","Pollux","PUBLIQUE","ORVAULT","1507","ORVAULT Rue d'Altaïr","","3","2","55","62"
"Rue","Rue des Poissons","Poissons","PUBLIQUE","ORVAULT","1505","ORVAULT Rue du Capricorne","","1","2","3","12"
"Allée","Allée Pluton","Pluton","PRIVEE","ORVAULT","1482","ORVAULT Rue du Pont Marchand","ORVAULT Avenue de la Voie Lactée","1","2","5","6"
"Chemin","Chemin du Plessis Buron","Buron","PUBLIQUE","ORVAULT","1481","ORVAULT Route du Télégraphe","ORVAULT Rue du Raffuneau","7","6","21","22"
"Impasse","Impasse Phaeton","Phaeton","PUBLIQUE","ORVAULT","1445","ORVAULT Boulevard Mendès France","Impasse","1","2","9","8"
"Rue","Rue Francis Le Carval","Carval","PUBLIQUE","REZE","1370","REZE Rue Benoît Chupiet","REZE Rue de la Commune de 1871","1","2","25","32"
"Rond-Point","Rond-Point Grand Sud","Grand","PUBLIQUE","REZE","1661","","","","","",""
"Rue","Rue Georges Boutin","Boutin","PUBLIQUE","REZE","1580","REZE Rue Emile Zola","REZE Boulevard Le Corbusier","1","2","33","32"
"Rond-Point","Rond-Point Jean Vano","Vano","PUBLIQUE","REZE","1995","","","","","",""
"Chemin","Chemin de Pontrigné","Pontrigné","PUBLIQUE","SAINT-AIGNAN-GRANDLIEU","0213","SAINT-AIGNAN-GRANDLIEU Route du Lac","SAINT-AIGNAN-GRANDLIEU Route de Pontrign","1","2","11","4"
"Avenue","Avenue de la Boire de Malet","Boire","PUBLIQUE","SAINT-AIGNAN-GRANDLIEU","0017","SAINT-AIGNAN-GRANDLIEU Avenue de la Boir","SAINT-AIGNAN-GRANDLIEU Route des Martins","1","2","17","18"
"Route","Route du Haut Palais","Haut","MIXTE","SAINT-AIGNAN-GRANDLIEU","0093","SAINT-AIGNAN-GRANDLIEU Avenue de la Forê","","3","","9",""
"Place","Place de la Charmille","Charmille","PUBLIQUE","BOUAYE","0019","BOUAYE Rue des Acacias","","1","2","5","4"
"Chemin","Chemin du Pré au Bois","Pré","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","4343","LA-CHAPELLE-SUR-ERDRE Rue de la Haie","","3","2","11","8"
"Allée","Allée de la Garonne","Garonne","PUBLIQUE","CARQUEFOU","2678","CARQUEFOU Rue du Rhône","CARQUEFOU Rue du Rhône","3","2","9","18"
"Impasse","Impasse de la Chartreuse","Chartreuse","PUBLIQUE","THOUARE-SUR-LOIRE","0616","THOUARE-SUR-LOIRE Rue de la Maurienne","Impasse","1","2","11","14"
"Impasse","Impasse des Aravis","Aravis","PUBLIQUE","THOUARE-SUR-LOIRE","0706","THOUARE-SUR-LOIRE Rue de la Maurienne","Impasse","1","2","5","4"
"Impasse","Impasse des Bauges","Bauges","PUBLIQUE","THOUARE-SUR-LOIRE","0709","THOUARE-SUR-LOIRE Rue de la Maurienne","Impasse","1","2","15","16"
"Rue","Rue de la Maurienne","Maurienne","PUBLIQUE","THOUARE-SUR-LOIRE","0619","THOUARE-SUR-LOIRE Rue des Buissons","THOUARE-SUR-LOIRE Rue Chenonceaux","1","","25",""
"Rue","Rue Jacques Anquetil","Anquetil","PRIVEE","SAINTE-LUCE-SUR-LOIRE","2854","SAINTE-LUCE-SUR-LOIRE Rue du Moulin Cass","","1","2","11","12"
"Impasse","Impasse de Gobert","Gobert","PUBLIQUE","MAUVES-SUR-LOIRE","0278","MAUVES-SUR-LOIRE Rue de Gobert","Impasse","41","4","67","4"
"Rue","Rue de la Potinarderie","Potinarderie","PUBLIQUE","MAUVES-SUR-LOIRE","0292","MAUVES-SUR-LOIRE Rue de la Drutière","MAUVES-SUR-LOIRE Chemin des Petites Pièc","349","182","535","410"
"Lieu-dit","Le Barré","Barré","PUBLIQUE","BRAINS","B005","","","1","","13",""
"Voie","Voie Non Dénommée 2041149","Dénommée","PUBLIQUE","THOUARE-SUR-LOIRE","","","","","","",""
"Impasse","Impasse Surcouf","Surcouf","PUBLIQUE","THOUARE-SUR-LOIRE","0118","THOUARE-SUR-LOIRE Rue d'Armorique","Impasse","7","6","11","10"
"Rond-Point","Rond-Point Charles De Gaulle","Gaulle","PUBLIQUE","THOUARE-SUR-LOIRE","0714","","","","","",""
"Place","Place René Cassin","Cassin","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","4584","LA-CHAPELLE-SUR-ERDRE Rue Hervé Le Guyad","LA-CHAPELLE-SUR-ERDRE Rue Hervé Le Guyad","","","",""
"Rue","Rue des Roitelets","Roitelets","PUBLIQUE","COUERON","2084","COUERON Rue des Hirondelles","COUERON Rue des Mouettes","1","2","13","12"
"Allée","Allée du Glandon","Glandon","PUBLIQUE","COUERON","1044","COUERON Impasse d'Allos","","19","","19",""
"Allée","Allée des Aravis","Aravis","PUBLIQUE","COUERON","0055","COUERON Impasse de la Colombière","","","6","","8"
"Rue","Rue de Trévellec","Trévellec","PUBLIQUE","COUERON","2301","COUERON Rue de la Lionnière","","","","",""
"Place","Place Eugène Kérivel","Kérivel","PRIVEE","COUERON","0886","COUERON Boulevard des Martyrs de la Rési","COUERON Boulevard des Martyrs de la Rési","","","",""
"Allée","Allée des Platanes","Platanes","PRIVEE","COUERON","1871","COUERON Boulevard des Martyrs de la Rési","","1","2","9","12"
"Rue","Rue du Petit Bois","Petit","PUBLIQUE","ORVAULT","1384","ORVAULT Boulevard Mendès France","","1","2","7","8"
"Chemin","Chemin du Petit Aulnay","Petit","PUBLIQUE","ORVAULT","0057","ORVAULT Route de la Rousselière","ORVAULT Chemin de la Haie","3","","5",""
"Allée","Allée de la Penfeld","Penfeld","PRIVEE","ORVAULT","1365","ORVAULT Avenue de la Vilaine","ORVAULT Allée de la Sarthe","1","2","5","4"
"Rue","Rue du Parc des Princes","Parc","PUBLIQUE","ORVAULT","1310","ORVAULT Avenue de la Morlière","ORVAULT Rue d'Enghien","1","4","27","18"
"Rue","Rue de l'Ouzée","Ouzée","PUBLIQUE","ORVAULT","1282","ORVAULT Rond-Point de la Baronnière","ORVAULT Rue des Baillauds","1","4","3","6"
"Rue","Rue des Oeillets","Oeillets","PUBLIQUE","ORVAULT","1270","ORVAULT Rue des Dahlias","ORVAULT Rue des Iris","3","4","19","32"
"Route","Route de Nantes","Nantes","PUBLIQUE","ORVAULT","1235","ORVAULT Rue Hubert De la Brosse","ORVAULT VM 42","1","","87",""
"RN","RN 137","137","PUBLIQUE","ORVAULT","1233","ORVAULT Rue de la Levée des Dons","ORVAULT RN 137","","","",""
"Rue","Rue de la Mulonnière","Mulonnière","PUBLIQUE","ORVAULT","1221","ORVAULT Rue de la Reynière","ORVAULT Avenue de la Praudière","1","2","27","40"
"Rue","Rue du Moulin à Vent","Moulin","PUBLIQUE","ORVAULT","1211","ORVAULT Rue du Landreau","ORVAULT Rue de la Vigne","1","4","13","18"
"Impasse","Impasse de la Heurte aux Lièvres","Heurte","PRIVEE","BOUAYE","0078","BOUAYE Route de Paimboeuf","Impasse","1","2","3","4"
"Avenue","Avenue des Cap-horniers","Cap-horniers","PUBLIQUE","BOUAYE","0022","BOUAYE Rue des Epinettes","","5","","7",""
"Avenue","Avenue Notre-Dame de la Route","Notre","PUBLIQUE","BOUAYE","0107","BOUAYE Rue de Nantes","BOUAYE Route de la Barre","3","2","3","12"
"Allée","Allée Louis Armand","Armand","PUBLIQUE","BOUAYE","0001","BOUAYE Rue de la Gare","BOUAYE Rue de la Gare","","","",""
"Allée","Allée de la Lande aux Fées","Lande","PUBLIQUE","BOUAYE","0094","BOUAYE Rue du Pinier","","1","2","15","12"
"Place","Place des Chaumières","Chaumières","PRIVEE","BOUAYE","0025","BOUAYE Rue de la Chataigneraie","","1","2","5","6"
"Impasse","Impasse de la Bergerie Verte","Bergerie","PRIVEE","BOUAYE","0007","BOUAYE Route de la Bergerie Verte","Impasse","1","2","3","4"
"Route","Route de la Bergerie Verte","Bergerie","PUBLIQUE","BOUAYE","0370","BOUAYE Route des Landes Bigot","BOUAYE Route de Paimboeuf","","10","","12"
